user_name,age,gender,location,category,brand,price in $,click_rate,availability,ratings,image_url,image_description
Customer_1,63,Male,Wollongong,Shoes,Converse,66.5,164,Available,5,http://i.pinimg.com/400x/88/70/b0/8870b0d384138a81cfdc91f98d1dde9b.jpg, These are white canvas lace-up sneakers with a pink metallic heel. They have a round toe and a flat sole. They are perfect for everyday wear and can be dressed up or down.
Customer_2,63,Male,Wollongong,Shoes,Adidas,93.1,459,Available,2,http://i.pinimg.com/400x/c3/1d/1e/c31d1e4b326c72816fa0e08404502309.jpg," These are women's wedge sandals with a black leather ankle strap and a blue and white woven upper. The 4-inch wedge heel is made of jute rope, and the sole is made of rubber. The sandals are perfect for summer wear and can be dressed up or down."
Customer_3,63,Male,Wollongong,Shoes,Fila,66.5,402,Out of Stock,1,http://i.pinimg.com/400x/48/a5/ab/48a5abadc1cecf38dfad0339c70ae3a4.jpg, A pair of checkerboard slip-on shoes from Vans. The shoes are black and white and have a classic Vans waffle sole. They are made from canvas and are perfect for a casual day out.
Customer_4,63,Male,Wollongong,Shoes,Vans,66.5,209,Available,3,http://i.pinimg.com/400x/89/4e/76/894e763a9fe3cbe42401f8936f31ec1c.jpg," These are white leather mules with a unique, sculptural heel. They are perfect for a special occasion or a night out on the town. The mules are made in Italy and are of the highest quality."
Customer_5,63,Male,Wollongong,Shoes,Reebok,66.5,455,Available,3,http://i.pinimg.com/400x/61/94/55/619455144ff48c7954e2b2b79c08c344.jpg, These white leather slingback shoes are perfect for a summer day. They have a pointed toe and a 3-inch heel. The shoes are made in Italy and are of the highest quality.
Customer_6,63,Male,Wollongong,Shoes,Converse,66.5,446,Available,2,http://i.pinimg.com/400x/0a/7d/2f/0a7d2fd7f54e936720ba07152e82d69b.jpg," A pair of pink Nike running shoes with white soles. The shoes have a breathable mesh upper and a rubber outsole. They are perfect for running, walking, or working out."
Customer_7,63,Male,Wollongong,Shirts & Tops,Tommy Hilfiger,33.25,362,Available,2,http://i.pinimg.com/400x/f6/8b/29/f68b296900cc4166c7e2dde9445fc8fd.jpg," This is a women's white linen blouse with a relaxed fit. It has a V-neckline with a tie closure and long sleeves with elasticated cuffs. The blouse is lightweight and airy, making it perfect for summer weather. It can be dressed up or down, making it versatile for a variety of occasions."
Customer_8,63,Male,Wollongong,Shoes,Timberland,66.5,393,Available,5,http://i.pinimg.com/400x/84/49/e6/8449e6c7922f510cfdc03f0706a6e42d.jpg, These are women's high-top wedge sneakers. They are made of white leather with silver metallic accents. The wedge heel is approximately 4 inches high. The shoes have a lace-up front and a side zipper closure. They are perfect for a casual day out or a night on the town.
Customer_9,63,Male,Wollongong,Coats & Jackets,Levi's,106.4,341,Out of Stock,2,http://i.pinimg.com/400x/94/b7/0d/94b70de8092cf57666d6d51f452379b4.jpg, A black blazer with striped cuffs. It is a fitted style with a lapel collar and two front buttons. The blazer is made of a ponte fabric and is lined. It is perfect for a business casual look or a night out on the town.
Customer_10,63,Male,Wollongong,Shorts,Columbia,26.6,239,Available,1,http://i.pinimg.com/400x/c2/c8/5b/c2c85bc0b8708df944c977824c237803.jpg," These are men's light grey knee-length linen shorts. They have a relaxed fit and are perfect for summer weather. They are machine washable and wrinkle-resistant, making them easy to care for."
